titleId,title,source
BCAS25016,God of War: Ascension,gametdb
BCAS25017,Beyond: Two Souls,gametdb
BCAS25018,Gran Turismo 6,gametdb
BCAS25019,Gran Turismo 6 (15th Anniversary Limited Edition),gametdb
BCAS50693,Hatsune Miku: Project Diva F 2nd,gametdb
BCAS80001,Phineas and Ferb: Across the Second Dimension,gametdb
BCAS85001,Tekken Hybrid,gametdb
BCAX90003,Playstation Three Big Hit Titles Demo Collection,gametdb
BCAX90004,PlayStation Move Starter Disc,gametdb
BCED00060,Official PlayStation Magazine Volume 7,gametdb
BCED00084,Official PlayStation Magazine Issue 08: August 2007,gametdb
BCED00085,Official PlayStation Magazine Volume 9,gametdb
BCED00086,Official PlayStation Magazine Issue 10: October 2007,gametdb
BCED00087,Official PlayStation Magazine Issue 11: November 2007,gametdb
BCED00088,Official PlayStation Magazine Issue 12: December 2007,gametdb
BCED00181,Official PlayStation Magazine Issue 13: Christmas 2007,gametdb
BCED00202,Official PlayStation Magazine Issue 14: January 2008,gametdb
BCED00203,Official PlayStation Magazine Issue 15: February 2008,gametdb
BCED00204,Official PlayStation Magazine Issue 16: March 2008,gametdb
BCED00205,Official PlayStation Magazine Issue 17: April 2008,gametdb
BCED00206,Official PlayStation Magazine Issue 18: May 2008,gametdb
BCED00207,Official PlayStation Magazine Issue 19: June 2008,gametdb
BCED00208,Official PlayStation Magazine Issue 20: July 2008,gametdb
BCED00209,Official PlayStation Magazine Issue 21: August 2008,gametdb
BCED00210,Official PlayStation Magazine Issue 22: September 2008,gametdb
BCED00211,Official PlayStation Magazine Issue 23: October 2008,gametdb
BCED00212,Official PlayStation Magazine Issue 24: November 2008,gametdb
BCED00213,Official PlayStation Magazine Issue 25: December 2008,gametdb
BCED00214,Official PlayStation Magazine Issue 26: Christmas 2008,gametdb
BCED00393,Gran Turismo 5: Prologue,gametdb
BCED00426,Official PlayStation Magazine Issue 27: January 2009,gametdb
